codigo_suministro,sed_id,alimentador_id,score_anomalia,percentil_prioridad,consumo_diario_promedio,tendencia_mensual,meses_cero_pct,prioridad
SUM_011824,SED_2407,ALIM_311,70.26,29.737,8.39,-0.5378,0.0,NO_PRIORIZADO
SUM_018578,SED_1777,ALIM_311,70.26,29.744,1.84,0.0767,0.0,NO_PRIORIZADO
SUM_002532,SED_0063,ALIM_311,70.25,29.751,4.86,0.3684,0.0,NO_PRIORIZADO
SUM_002296,SED_1822,ALIM_311,70.24,29.764,0.95,0.0626,8.3,NO_PRIORIZADO
SUM_005106,SED_2475,ALIM_311,70.24,29.757,2.19,0.1915,0.0,NO_PRIORIZADO
SUM_000436,SED_2558,ALIM_311,70.23,29.771,2.94,-0.0737,0.0,NO_PRIORIZADO
SUM_004304,SED_2789,ALIM_311,70.22,29.777,2.76,0.1824,0.0,NO_PRIORIZADO
SUM_011698,SED_1019,ALIM_311,70.22,29.784,5.45,0.1485,0.0,NO_PRIORIZADO
SUM_008445,SED_1600,ALIM_311,70.21,29.791,2.52,-0.1651,0.0,NO_PRIORIZADO
SUM_007636,SED_1538,ALIM_311,70.2,29.797,0.03,-0.0032,25.0,NO_PRIORIZADO
SUM_016137,SED_2363,ALIM_311,70.2,29.804,0.45,-0.0059,0.0,NO_PRIORIZADO
SUM_004489,SED_2362,ALIM_311,70.19,29.811,4.95,-0.2239,0.0,NO_PRIORIZADO
SUM_003884,SED_2789,ALIM_311,70.18,29.817,2.42,-0.0728,0.0,NO_PRIORIZADO
SUM_018725,SED_1009,ALIM_311,70.18,29.824,0.78,-0.0491,0.0,NO_PRIORIZADO
SUM_007929,SED_0853,ALIM_311,70.17,29.831,2.7,-0.027,0.0,NO_PRIORIZADO
SUM_002746,SED_2074,ALIM_311,70.16,29.837,2.11,-0.0837,0.0,NO_PRIORIZADO
SUM_005341,SED_2407,ALIM_311,70.16,29.844,7.48,-0.031,0.0,NO_PRIORIZADO
SUM_009324,SED_0450,ALIM_311,70.15,29.851,0.17,-0.0051,0.0,NO_PRIORIZADO
